order_id,order_date,customer_id,state,region,product,quantity,unit_price,discount,revenue
ORD00001,2025-01-21,CUST1103,Rajasthan,North,Keyboard,5,1900.69,0.05,9028.28
ORD00002,2025-04-10,CUST1104,Gujarat,West,Printer,7,11902.2,0.05,79149.63
ORD00003,2025-10-21,CUST1002,Uttar Pradesh,North,Printer,6,13127.78,0.1,70890.01
ORD00004,2025-01-22,CUST1108,Andhra Pradesh,South,Keyboard,5,1729.53,0.0,8647.65
ORD00005,2025-07-07,CUST1080,Maharashtra,West,Laptop,3,63698.19,0.05,181539.84
ORD00006,2025-09-01,CUST1064,Telangana,South,Software,6,7323.69,0.05,41745.03
ORD00007,2025-11-25,CUST1039,Maharashtra,West,Printer,5,12432.74,0.05,59055.51
ORD00008,2025-09-22,CUST1090,West Bengal,East,Keyboard,1,1822.78,0.08,1676.96
ORD00009,2025-09-21,CUST1047,Punjab,North,Monitor,4,17784.55,0.08,65447.14
ORD00010,2025-01-02,CUST1006,Odisha,East,Software,1,7023.35,0.08,6461.48
ORD00011,2025-08-06,CUST1044,Haryana,North,Monitor,4,19690.5,0.1,70885.8
ORD00012,2025-10-31,CUST1015,West Bengal,East,Monitor,6,18352.44,0.08,101305.47
ORD00013,2025-10-23,CUST1085,Uttar Pradesh,North,Software,7,6817.84,0.08,43906.89
ORD00014,2025-08-05,CUST1060,Andhra Pradesh,South,Mouse,2,915.62,0.1,1648.12
ORD00015,2025-03-06,CUST1089,Karnataka,South,Mouse,1,954.4,0.1,858.96
ORD00016,2025-03-04,CUST1011,Rajasthan,North,Laptop,1,62315.35,0.08,57330.12
ORD00017,2025-09-18,CUST1106,Odisha,East,Laptop,3,68526.51,0.05,195300.55
ORD00018,2025-11-24,CUST1012,Rajasthan,North,Monitor,1,19307.17,0.08,17762.6
ORD00019,2025-12-26,CUST1086,West Bengal,East,Laptop,7,67984.88,0.1,428304.74
ORD00020,2025-05-11,CUST1001,Goa,West,Printer,1,11087.03,0.05,10532.68
ORD00021,2025-01-15,CUST1090,Punjab,North,Monitor,7,18081.84,0.05,120244.24
ORD00022,2025-08-19,CUST1113,Gujarat,West,Keyboard,5,1631.31,0.05,7748.72
ORD00023,2025-08-25,CUST1015,Delhi,North,Mouse,4,854.87,0.1,3077.53
ORD00024,2025-07-06,CUST1115,Goa,West,Mouse,4,823.86,0.1,2965.9
ORD00025,2025-05-14,CUST1028,Haryana,North,Keyboard,2,1910.92,0.03,3707.18
ORD00026,2025-11-27,CUST1119,Karnataka,South,Keyboard,4,1941.32,0.08,7144.06
ORD00027,2025-10-10,CUST1062,Karnataka,South,Laptop,7,62037.72,0.0,434264.04
ORD00028,2025-07-17,CUST1072,Maharashtra,West,Keyboard,5,1729.72,0.0,8648.6
ORD00029,2025-08-22,CUST1044,Goa,West,Laptop,6,67501.67,0.1,364509.02
ORD00030,2025-11-14,CUST1113,Uttar Pradesh,North,Printer,6,11769.21,0.0,70615.26
ORD00031,2025-04-11,CUST1113,Gujarat,West,Keyboard,4,1876.42,0.03,7280.51
ORD00032,2025-08-08,CUST1054,Uttar Pradesh,North,Laptop,3,71195.99,0.0,213587.97
ORD00033,2025-05-10,CUST1053,Rajasthan,North,Mouse,1,853.12,0.0,853.12
ORD00034,2025-07-03,CUST1017,Karnataka,South,Monitor,6,16491.07,0.08,91030.71
ORD00035,2025-08-28,CUST1016,Telangana,South,Software,5,8225.13,0.08,37835.6
ORD00036,2025-12-15,CUST1003,Bihar,East,Laptop,4,60924.74,0.05,231514.01
ORD00037,2025-05-27,CUST1020,Delhi,North,Keyboard,3,1625.97,0.08,4487.68
ORD00038,2025-02-08,CUST1082,Andhra Pradesh,South,Keyboard,1,1763.13,0.0,1763.13
ORD00039,2025-05-31,CUST1031,Uttar Pradesh,North,Laptop,3,68057.81,0.08,187839.56
ORD00040,2025-04-22,CUST1116,Kerala,South,Monitor,3,16829.84,0.08,46450.36
ORD00041,2025-05-20,CUST1069,Karnataka,South,Laptop,2,59710.34,0.0,119420.68
ORD00042,2025-05-27,CUST1048,Punjab,North,Printer,7,11469.29,0.0,80285.03
ORD00043,2025-03-16,CUST1113,Andhra Pradesh,South,Printer,4,12340.88,0.0,49363.52
ORD00044,2025-04-22,CUST1089,Uttar Pradesh,North,Keyboard,6,1829.05,0.08,10096.36
ORD00045,2025-12-04,CUST1066,Odisha,East,Laptop,5,60590.5,0.03,293863.92
ORD00046,2025-03-09,CUST1033,Haryana,North,Printer,5,11222.22,0.0,56111.1
ORD00047,2025-02-02,CUST1048,Kerala,South,Mouse,4,928.37,0.05,3527.81
ORD00048,2025-09-21,CUST1027,Karnataka,South,Printer,3,11968.18,0.1,32314.09
ORD00049,2025-11-13,CUST1048,Goa,West,Monitor,5,18276.85,0.0,91384.25
ORD00050,2025-06-21,CUST1092,Odisha,East,Keyboard,3,1635.7,0.0,4907.1
ORD00051,2025-08-21,CUST1037,Kerala,South,Mouse,6,969.03,0.1,5232.76
ORD00052,2025-07-07,CUST1097,Uttar Pradesh,North,Mouse,1,913.01,0.1,821.71
ORD00053,2025-05-08,CUST1018,Delhi,North,Mouse,5,867.05,0.0,4335.25
ORD00054,2025-06-23,CUST1024,Maharashtra,West,Monitor,7,19548.06,0.03,132731.33
ORD00055,2025-09-30,CUST1104,West Bengal,East,Software,7,7131.25,0.03,48421.19
ORD00056,2025-01-26,CUST1099,Bihar,East,Laptop,3,62354.63,0.1,168357.5
ORD00057,2025-11-09,CUST1036,West Bengal,East,Laptop,5,65147.45,0.08,299678.27
ORD00058,2025-05-23,CUST1092,Tamil Nadu,South,Keyboard,1,1939.18,0.08,1784.05
ORD00059,2025-03-04,CUST1062,West Bengal,East,Monitor,7,17876.15,0.05,118876.4
ORD00060,2025-06-29,CUST1042,Tamil Nadu,South,Software,2,6795.75,0.03,13183.75
ORD00061,2025-09-21,CUST1053,Haryana,North,Software,3,7239.98,0.08,19982.34
ORD00062,2025-09-19,CUST1109,Karnataka,South,Keyboard,4,1784.62,0.1,6424.63
ORD00063,2025-11-04,CUST1016,Andhra Pradesh,South,Keyboard,6,1849.47,0.05,10541.98
ORD00064,2025-05-25,CUST1120,Tamil Nadu,South,Monitor,4,17362.64,0.03,67367.04
ORD00065,2025-08-17,CUST1090,Telangana,South,Printer,4,10988.3,0.03,42634.6
ORD00066,2025-05-09,CUST1058,Punjab,North,Software,7,7782.75,0.0,54479.25
